iter	Passed	Remaining
346	607	1143
347	608	1140
348	609	1137
349	610	1134
350	611	1130
351	612	1127
352	613	1124
353	616	1124
354	618	1122
355	619	1120
356	620	1117
357	621	1115
358	623	1112
359	624	1109
360	625	1106
361	626	1103
362	627	1100
363	628	1097
364	629	1094
365	630	1092
366	631	1089
367	633	1087
368	634	1084
369	635	1081
370	636	1078
371	637	1075
372	638	1072
373	639	1070
374	640	1067
375	641	1064
376	642	1061
377	644	1061
378	645	1058
379	647	1055
380	648	1052
381	649	1050
382	650	1047
383	651	1044
384	652	1041
385	653	1038
386	654	1036
387	655	1033
388	656	1030
389	657	1027
390	659	1027
391	660	1024
392	661	1021
393	662	1018
394	663	1016
395	664	1013
396	665	1010
397	666	1008
398	667	1005
399	668	1002
400	669	999
401	670	997
402	671	994
403	673	993
404	674	991
405	675	988
406	676	985
407	677	983
408	678	980
409	679	977
410	680	975
411	681	972
412	682	969
413	683	967
414	684	964
415	685	962
416	687	961
417	689	959
418	690	957
419	691	954
420	692	952
421	693	950
422	694	947
423	695	945
424	696	942
425	697	940
426	698	937
427	699	935
428	700	932
429	703	932
430	704	930
431	705	927
432	707	925
433	708	923
434	709	921
435	710	919
436	711	916
437	712	914
438	713	911
439	714	909
440	717	908
441	718	907
442	720	906
443	721	903
444	722	901
445	724	899
446	725	897
447	726	895
448	727	893
449	728	890
450	730	889
451	732	887
452	733	885
453	734	883
454	735	881
455	736	879
456	738	877
457	739	875
458	740	872
459	742	871
460	745	871
461	747	870
462	749	869
463	751	867
